LPM,AREA,POINT_ID,EASTING-X,NORTHING-Y,LATITUDE,LONGITUDE,DESCRIPTION
6,2.007,1,316700.65,1617594.2,14.625512,79.298154,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,2,316746.29,1617592.96,14.625504,79.298578,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,3,316734.3,1617521.95,14.624862,79.298471,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,4,316697.97,1617464.48,14.62434,79.298138,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,5,316699.89,1617415.44,14.623897,79.29816,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,6,316669.93,1617414.7,14.623888,79.297881,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,7,316651.6,1617420.1,14.623936,79.297711,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,1,316673.8,1617379.49,14.62357,79.29792,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,2,316669.93,1617414.7,14.623888,79.297881,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,3,316699.89,1617415.44,14.623897,79.29816,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,4,316758.67,1617387.06,14.623644,79.298707,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,5,316787.52,1617305.17,14.622906,79.29898,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,6,316746.39,1617244.62,14.622356,79.298603,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,7,316729.2,1617204.67,14.621994,79.298446,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,8,316666.52,1617201.61,14.621962,79.297865,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,9,316648.02,1617202.14,14.621966,79.297693,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,10,316649.55,1617226.07,14.622182,79.297705,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,11,316650.95,1617248.11,14.622381,79.297717,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,12,316653.78,1617292.46,14.622782,79.29774,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,13,316683.25,1617296.47,14.622821,79.298013,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,14,316700.68,1617298.85,14.622843,79.298175,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,15,316709.8,1617354.04,14.623343,79.298256,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,1,316666.52,1617201.61,14.621962,79.297865,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,2,316729.2,1617204.67,14.621994,79.298446,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,3,316715.6,1617117.41,14.621204,79.298326,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,4,316706.65,1617026.29,14.62038,79.298249,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,5,316689.51,1616974.13,14.619908,79.298094,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,6,316680.88,1616923.98,14.619454,79.298017,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,7,316633.88,1616953.53,14.619718,79.297579,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,8,316654.51,1616973.13,14.619896,79.297769,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,9,316667.79,1617000.53,14.620145,79.29789,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,10,316674.29,1617013.94,14.620267,79.29795,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,11,316677.85,1617032.93,14.620438,79.297982,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,12,316683.1,1617060.86,14.620691,79.298028,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,13,316668.18,1617154.12,14.621533,79.297883,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,14,316669.03,1617170.88,14.621685,79.29789,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,15,316670.21,1617194.22,14.621896,79.297899,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,1,316633.88,1616953.53,14.619718,79.297579,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,2,316680.88,1616923.98,14.619454,79.298017,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,3,316727.29,1616897.18,14.619215,79.29845,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,4,316729.85,1616844.57,14.61874,79.298477,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,5,316701.81,1616832.48,14.618628,79.298218,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,6,316702.31,1616861.64,14.618892,79.29822,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,7,316669.81,1616887.35,14.619122,79.297917,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,8,316651.83,1616901.56,14.619249,79.297749,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,9,316625.68,1616930.97,14.619513,79.297505,"WaterBody,Vagu/Vanka/Yeru"
283,0.592,1,316720.47,1616475.44,14.615403,79.298416,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,2,316717.18,1616490.04,14.615535,79.298384,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,3,316739.76,1616525.65,14.615858,79.298592,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,4,316763.31,1616550.39,14.616083,79.298808,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,5,316784.25,1616551.11,14.616091,79.299003,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,6,316824.99,1616552.52,14.616107,79.299381,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,7,316869.58,1616567.87,14.616248,79.299793,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,8,316867.57,1616539.18,14.615989,79.299777,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,9,316837.8,1616539.08,14.615986,79.299501,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,10,316769.78,1616538.88,14.61598,79.298869,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,12,316751.55,1616528.2,14.615882,79.298701,"Road,Puntha/Bandi Jada/Kalibata"
314,1.227,1,316791.93,1616269.12,14.613543,79.299094,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,2,316821.91,1616269.33,14.613547,79.299372,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,3,316877.58,1616250.2,14.613378,79.29989,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,4,316912.87,1616267.69,14.613538,79.300216,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,6,316912.15,1616274.09,14.613596,79.300209,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,7,316941.34,1616283.35,14.613682,79.300479,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,8,316957.37,1616321.93,14.614032,79.300625,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,9,317020.41,1616309.62,14.613925,79.301211,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,10,317020.83,1616283.89,14.613692,79.301217,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,11,316983.04,1616297.57,14.613813,79.300865,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,12,316944.1,1616259.75,14.613469,79.300506,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,13,316886.94,1616236.33,14.613253,79.299978,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,14,316833.97,1616246.78,14.613344,79.299485,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,15,316822.47,1616257.81,14.613443,79.299378,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,16,316807.27,1616259.35,14.613456,79.299237,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,17,316787.52,1616250.2,14.613372,79.299054,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,1,316787.52,1616250.2,14.613372,79.299054,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,2,316764.36,1616215.79,14.613059,79.298841,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,4,316769.99,1616175.97,14.6127,79.298896,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,5,316733.66,1616164.03,14.61259,79.29856,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,6,316699.02,1616133.23,14.612309,79.298241,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,7,316696.82,1616131.25,14.612291,79.29822,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,8,316684.55,1616140.02,14.612369,79.298106,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,9,316724.62,1616174.42,14.612683,79.298475,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,10,316736.29,1616177.24,14.612709,79.298583,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,11,316743.06,1616201.3,14.612927,79.298645,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,12,316759.19,1616237.61,14.613256,79.298792,"WaterBody,Vagu/Vanka/Yeru"
339,0.679,13,316791.93,1616269.12,14.613543,79.299094,"WaterBody,Vagu/Vanka/Yeru"
331,0.394,1,316502.4,1615966.45,14.610788,79.296427,"Road,National Highways"
331,0.394,2,316519.73,1615955.4,14.61069,79.296589,"Road,National Highways"
331,0.394,3,316441.63,1615942.03,14.610563,79.295865,"Road,National Highways"
331,0.394,4,316451.8,1615980.53,14.610912,79.295957,"Road,National Highways"
370,0.714,1,316276.78,1616180.13,14.612704,79.294319,"Road,Puntha/Bandi Jada/Kalibata"
370,0.714,2,316282.66,1616161.79,14.612539,79.294374,"Road,Puntha/Bandi Jada/Kalibata"
370,0.714,3,316228.26,1616102.66,14.612001,79.293874,"Road,Puntha/Bandi Jada/Kalibata"
370,0.714,4,316212.01,1616085,14.61184,79.293724,"Road,Puntha/Bandi Jada/Kalibata"
370,0.714,5,316202.89,1616075.08,14.61175,79.29364,"Road,Puntha/Bandi Jada/Kalibata"
370,0.714,6,316169.98,1616039.46,14.611425,79.293337,"Road,Puntha/Bandi Jada/Kalibata"
370,0.714,7,316146.64,1616036.61,14.611398,79.293121,"Road,Puntha/Bandi Jada/Kalibata"
255,0.215,1,316073.29,1615903.93,14.610194,79.292449,"Road,Puntha/Bandi Jada/Kalibata"
255,0.215,2,316084.99,1615896.19,14.610125,79.292558,"Road,Puntha/Bandi Jada/Kalibata"
255,0.215,3,316098.81,1615861.04,14.609808,79.292689,"Road,Puntha/Bandi Jada/Kalibata"
255,0.215,4,316066.04,1615859.89,14.609796,79.292385,"Road,Puntha/Bandi Jada/Kalibata"
402,10.991,1,315267.32,1616030.08,14.611279,79.28496,Grazing Ground/Topu/Mandabailu etc.
402,10.991,2,315155.62,1616109.55,14.61199,79.283918,Grazing Ground/Topu/Mandabailu etc.
402,10.991,3,314923.1,1616151.26,14.612351,79.281757,Grazing Ground/Topu/Mandabailu etc.
402,10.991,4,315127.18,1616283.25,14.613558,79.283642,Grazing Ground/Topu/Mandabailu etc.
402,10.991,5,315180.36,1616277.39,14.613508,79.284136,Grazing Ground/Topu/Mandabailu etc.
402,10.991,6,315259.85,1616281,14.613546,79.284873,Grazing Ground/Topu/Mandabailu etc.
418,1.746,1,315794.49,1615171.39,14.603555,79.289913,"Road,Puntha/Bandi Jada/Kalibata"
418,1.746,2,315791.07,1615259.96,14.604355,79.289875,"Road,Puntha/Bandi Jada/Kalibata"
418,1.746,3,315781.23,1615317.04,14.60487,79.28978,"Road,Puntha/Bandi Jada/Kalibata"
418,1.746,4,315861.99,1615343,14.60511,79.290527,"Road,Puntha/Bandi Jada/Kalibata"
418,1.746,5,315812.91,1615178.21,14.603618,79.290083,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,1,316014.4,1615635.9,14.607768,79.291921,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,2,316051.48,1615638.98,14.607798,79.292265,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,3,316019.8,1615564.86,14.607126,79.291977,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,4,315946.53,1615367.86,14.605341,79.29131,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,5,315861.99,1615343,14.60511,79.290527,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,6,315781.23,1615317.04,14.60487,79.28978,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,7,315840.45,1615484.76,14.60639,79.290318,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,8,315868.06,1615451.36,14.60609,79.290576,"Road,Puntha/Bandi Jada/Kalibata"
392,6.873,9,315926.19,1615495.91,14.606497,79.291113,"Road,Puntha/Bandi Jada/Kalibata"
375,0.565,1,316252.3,1615766.41,14.608963,79.29412,"WaterBody,Vagu/Vanka/Yeru"
375,0.565,2,316287.86,1615740.65,14.608733,79.294452,"WaterBody,Vagu/Vanka/Yeru"
375,0.565,3,316164.15,1615731.42,14.608641,79.293305,"WaterBody,Vagu/Vanka/Yeru"
375,0.565,4,316155.55,1615731.19,14.608638,79.293225,"WaterBody,Vagu/Vanka/Yeru"
375,0.565,5,316207.82,1615758.26,14.608887,79.293708,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,1,316177.32,1615650.81,14.607914,79.293432,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,2,316197.21,1615647.86,14.607888,79.293617,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,3,316175.09,1615481.53,14.606384,79.293423,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,4,316172.18,1615481.09,14.606379,79.293397,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,5,316194.8,1615369.02,14.605368,79.293614,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,6,316133.16,1615349.41,14.605187,79.293044,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,7,316095.69,1615327.71,14.604988,79.292697,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,8,316145.07,1615384.69,14.605506,79.293152,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,9,316122.45,1615556.57,14.607058,79.29293,"WaterBody,Vagu/Vanka/Yeru"
421,3.162,10,316165.9,1615591.76,14.607379,79.293331,"WaterBody,Vagu/Vanka/Yeru"
400,46.979,1,315411.28,1616254.73,14.613319,79.286281,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,3,315491.79,1616353.36,14.614216,79.287021,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,4,315612.85,1616326.63,14.613983,79.288146,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,5,315675.46,1616303.92,14.613782,79.288729,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,6,315698.92,1616276.17,14.613533,79.288949,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,7,315725.19,1616245.98,14.613262,79.289195,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,8,315738.46,1616232.64,14.613142,79.289319,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,9,315750.73,1616216.83,14.613,79.289434,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,10,315762.72,1616202.86,14.612875,79.289546,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,11,315767,1616197.91,14.61283,79.289586,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,12,315784.16,1616172.2,14.612599,79.289747,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,13,315822.02,1616115.47,14.612089,79.290102,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,14,315858.23,1616043.62,14.611442,79.290444,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,15,315883.86,1616042.27,14.611431,79.290682,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,16,315902.72,1615939.03,14.6105,79.290864,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,17,315918.03,1615855.27,14.609744,79.291012,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,18,315912.89,1615823.23,14.609454,79.290966,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,19,315906.15,1615781.16,14.609073,79.290907,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,20,315887.32,1615663.61,14.60801,79.29074,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,21,315746.38,1615732.88,14.608626,79.289427,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,22,315764.26,1615804.6,14.609275,79.289588,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,23,315686.24,1615820.67,14.609415,79.288863,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,24,315534.13,1615932.32,14.610414,79.287443,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,25,315504.89,1616045.26,14.611433,79.287164,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,26,315415.07,1616140.42,14.612286,79.286324,"WaterBody,Tank/Cheruvu/Kunta"
400,46.979,27,315406.15,1616148.45,14.612358,79.286241,"WaterBody,Tank/Cheruvu/Kunta"
92,1.244,1,316305.67,1616999.71,14.620113,79.29453,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,2,316313.67,1617011.89,14.620224,79.294603,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,3,316317.09,1616963.81,14.619789,79.294638,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,4,316322.21,1616941.34,14.619587,79.294687,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,5,316373.71,1616930.54,14.619492,79.295166,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,6,316385.37,1616918.88,14.619388,79.295275,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,7,316392.48,1616903.51,14.619249,79.295342,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,8,316408.84,1616906.78,14.61928,79.295494,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,9,316428.79,1616895.59,14.61918,79.29568,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,10,316434.8,1616880.66,14.619046,79.295736,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,11,316472.58,1616851.59,14.618786,79.296089,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,12,316454.34,1616832.03,14.618608,79.295921,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,13,316408.19,1616839.51,14.618672,79.295492,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,14,316403.46,1616878.98,14.619029,79.295446,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,15,316376.31,1616903.93,14.619252,79.295192,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,16,316373.56,1616915.25,14.619354,79.295166,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,17,316342.96,1616921.8,14.619411,79.294881,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,18,316324.61,1616925.73,14.619446,79.294711,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,19,316311.26,1616934.62,14.619525,79.294586,"WaterBody,Vagu/Vanka/Yeru"
92,1.244,20,316306.71,1616987.64,14.620004,79.29454,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,1,316454.34,1616832.03,14.618608,79.295921,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,2,316472.58,1616851.59,14.618786,79.296089,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,3,316515.81,1616870.9,14.618963,79.296489,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,4,316553.89,1616870.22,14.61896,79.296842,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,5,316574.17,1616844.51,14.618729,79.297032,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,6,316643.71,1616833.5,14.618634,79.297679,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,7,316670.22,1616829.39,14.618598,79.297925,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,8,316683.97,1616827.26,14.61858,79.298053,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,9,316701.81,1616832.48,14.618628,79.298218,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,10,316698.9,1616801.8,14.618351,79.298193,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,11,316645.81,1616813.42,14.618452,79.297699,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,12,316625.36,1616810.29,14.618423,79.29751,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,13,316582.64,1616827.05,14.618571,79.297112,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,14,316524.52,1616849.85,14.618773,79.296571,"WaterBody,Vagu/Vanka/Yeru"
113,1.355,15,316480.24,1616828.42,14.618577,79.296162,"WaterBody,Vagu/Vanka/Yeru"
364,2.07,1,316441.63,1615942.03,14.610563,79.295865,"WaterBody,Tank/Cheruvu/Kunta"
364,2.07,2,316607,1615845.66,14.609704,79.297407,"WaterBody,Tank/Cheruvu/Kunta"
364,2.07,3,316510.82,1615851.51,14.60975,79.296514,"WaterBody,Tank/Cheruvu/Kunta"
364,2.07,4,316454,1615838.82,14.609631,79.295987,"WaterBody,Tank/Cheruvu/Kunta"
364,2.07,5,316426.63,1615870.91,14.60992,79.295731,"WaterBody,Tank/Cheruvu/Kunta"
403,10.517,1,314923.1,1616151.26,14.612351,79.281757,Grazing Ground/Topu/Mandabailu etc.
403,10.517,2,315155.62,1616109.55,14.61199,79.283918,Grazing Ground/Topu/Mandabailu etc.
403,10.517,3,315113.18,1615933.55,14.610396,79.283537,Grazing Ground/Topu/Mandabailu etc.
403,10.517,4,314896.19,1615958.86,14.61061,79.281521,Grazing Ground/Topu/Mandabailu etc.
404,5.81,1,315267.32,1616030.08,14.611279,79.28496,Grazing Ground/Topu/Mandabailu etc.
404,5.81,2,315273.53,1615878.34,14.609908,79.285029,Grazing Ground/Topu/Mandabailu etc.
404,5.81,3,315113.18,1615933.55,14.610396,79.283537,Grazing Ground/Topu/Mandabailu etc.
404,5.81,4,315155.62,1616109.55,14.61199,79.283918,Grazing Ground/Topu/Mandabailu etc.
459,2.828,1,315605.5,1615573.68,14.607178,79.288131,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,2,315549.58,1615551.82,14.606976,79.287613,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,3,315493.55,1615542.95,14.606892,79.287094,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,4,315453.1,1615561.26,14.607055,79.286717,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,5,315465.72,1615594.13,14.607353,79.286832,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,6,315496.07,1615624.34,14.607628,79.287112,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,7,315562.47,1615594.79,14.607365,79.28773,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,8,315633.12,1615661.85,14.607976,79.288381,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,9,315665.07,1615639.93,14.60778,79.288679,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,10,315654.57,1615600.53,14.607424,79.288584,"WaterBody,Tank/Cheruvu/Kunta"
459,2.828,11,315613.35,1615586.33,14.607292,79.288203,"WaterBody,Tank/Cheruvu/Kunta"
405,10.267,1,315113.18,1615933.55,14.610396,79.283537,Grazing Ground/Topu/Mandabailu etc.
405,10.267,2,315074.96,1615756.59,14.608794,79.283194,Grazing Ground/Topu/Mandabailu etc.
405,10.267,3,314874.61,1615738.64,14.608619,79.281336,Grazing Ground/Topu/Mandabailu etc.
405,10.267,4,314896.19,1615958.86,14.61061,79.281521,Grazing Ground/Topu/Mandabailu etc.
406,12.949,1,315421.97,1615823.63,14.609424,79.28641,Grazing Ground/Topu/Mandabailu etc.
406,12.949,2,315370.47,1615682.89,14.608149,79.285942,Grazing Ground/Topu/Mandabailu etc.
406,12.949,3,315074.96,1615756.59,14.608794,79.283194,Grazing Ground/Topu/Mandabailu etc.
406,12.949,4,315113.18,1615933.55,14.610396,79.283537,Grazing Ground/Topu/Mandabailu etc.
406,12.949,5,315273.53,1615878.34,14.609908,79.285029,Grazing Ground/Topu/Mandabailu etc.
460,5.427,1,315462.73,1615889.62,14.610023,79.286784,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,2,315497.81,1615937.54,14.610459,79.287106,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,3,315381.22,1615931.43,14.610395,79.286024,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,4,315371.57,1615976.25,14.6108,79.285932,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,5,315390.75,1616022.83,14.611222,79.286106,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,6,315405.07,1616063.84,14.611594,79.286236,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,7,315415.07,1616140.42,14.612286,79.286324,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,8,315504.89,1616045.26,14.611433,79.287164,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,9,315534.13,1615932.32,14.610414,79.287443,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,10,315517.83,1615897.07,14.610094,79.287295,"WaterBody,Tank/Cheruvu/Kunta"
407,10.998,1,315370.47,1615682.89,14.608149,79.285942,Grazing Ground/Topu/Mandabailu etc.
407,10.998,2,315297.47,1615562.47,14.607055,79.285273,Grazing Ground/Topu/Mandabailu etc.
407,10.998,3,315027.8,1615581.79,14.607211,79.282769,Grazing Ground/Topu/Mandabailu etc.
407,10.998,4,315074.96,1615756.59,14.608794,79.283194,Grazing Ground/Topu/Mandabailu etc.
408,11.638,1,315297.47,1615562.47,14.607055,79.285273,Grazing Ground/Topu/Mandabailu etc.
408,11.638,2,315260.92,1615385.16,14.60545,79.284946,Grazing Ground/Topu/Mandabailu etc.
408,11.638,3,315000.49,1615408.92,14.605647,79.282527,Grazing Ground/Topu/Mandabailu etc.
408,11.638,4,315027.8,1615581.79,14.607211,79.282769,Grazing Ground/Topu/Mandabailu etc.
133,1.933,1,316230.59,1616726.78,14.617641,79.293852,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,2,316260.17,1616641.89,14.616876,79.294132,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,3,316222.73,1616646.4,14.616914,79.293784,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,4,316196.66,1616647.17,14.616919,79.293542,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,5,316193.95,1616646.72,14.616915,79.293517,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,6,316135.95,1616800.97,14.618305,79.292968,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,7,316181.83,1616765.01,14.617983,79.293397,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,1,316135.95,1616800.97,14.618305,79.292968,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,2,316193.95,1616646.72,14.616915,79.293517,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,3,316150.99,1616639.6,14.616848,79.293119,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,4,316060.09,1616881.95,14.619032,79.292258,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,5,316064.8,1616878.22,14.618999,79.292302,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,6,316086.55,1616839.7,14.618652,79.292507,"WaterBody,Vagu/Vanka/Yeru"
57,1.488,1,316003.17,1617197.17,14.621877,79.291708,"Road,National Highways"
57,1.488,2,316006.46,1617186.81,14.621784,79.291739,"Road,National Highways"
57,1.488,3,316018.8,1617148,14.621434,79.291857,"Road,National Highways"
57,1.488,4,316021.5,1617137.55,14.621339,79.291882,"Road,National Highways"
